,price,price_parcela,title
0,"R$ 889,00 (10% de desconto)R$ 800,10no boleto ou em 1x no cartão","R$ 889,00 em até 10x de R$ 88,90 s/ juros com Ame e receba R$ 44,45 (5% de volta) R$ 889,00 no cartão de crédito em até 10x de R$ 88,90 s/ jurosR$ 800,10 em 1x no cartão Americanas.com (10% de desconto) ou R$ 889,00 em até 10x de R$ 88,90 s/ jurosformas de parcelamento","Smartphone Asus Zenfone Max Pro (M1) 32GB Dual Chip Android Oreo Tela 6"" Qualcomm Snapdragon SDM636  4G Câmera  13 + 5MP (Dual Traseira) - Prata nas Lojas Americanas.com"
1,"R$ 899,99Selo PrimeEsta é uma oferta prime9x de R$ 99,99 s/ juros","R$ 899,99 em até 12x de R$ 74,99 s/ juros com Ame e receba R$ 45,00 (5% de volta) R$ 899,99 no cartão Americanas.com em até 12x de R$ 74,99 s/ jurosformas de parcelamento","Smartphone Asus Zenfone Max Pro (M1) 32GB Dual Chip Android Oreo Tela 6"" Qualcomm Snapdragon SDM636  4G Câmera  13 + 5MP (Dual Traseira) - Preto nas Lojas Americanas.com"
2,"R$ 749,907x de R$ 107,12 s/ juros","R$ 749,90 em até 12x de R$ 62,49 s/ juros com Ame e receba R$ 37,50 (5% de volta) R$ 749,90 no cartão Americanas.com em até 12x de R$ 62,49 s/ jurosformas de parcelamento","Smartphone Zenfone Max M1 32GB Dual Chip Android 7 Tela 5.2"" Qualcomm Snapdragon 425 4G Câmera 13 + 5MP (Dual Traseira) - Preto nas Lojas Americanas.com"
3,"R$ 1.279,00Selo PrimeEsta é uma oferta prime10x de R$ 127,90 s/ juros","R$ 1.279,00 em até 12x de R$ 106,58 s/ juros com Ame e receba R$ 63,95 (5% de volta) R$ 1.253,42 no boleto bancário (2% de desconto)R$ 1.279,00 no cartão Americanas.com em até 12x de R$ 106,58 s/ jurosformas de parcelamento","Smartphone Asus Zenfone Max Pro M1 64gb/4gb Dual Chip Android 8.0 Tela Fhd 6.0""+ Qualcomm Snapdragon 1.8ghz 4g Câmera Dual 16mp+5mp - Prata nas Lojas Americanas.com"
4,"R$ 1.141,7610x de R$ 114,17 s/ juros","R$ 1.141,76 em até 12x de R$ 95,14 s/ juros com Ame e receba R$ 57,09 (5% de volta) R$ 1.141,76 no cartão Americanas.com em até 12x de R$ 95,14 s/ jurosformas de parcelamento","Smartphone Zenfone Max M1 32GB Dual Chip Android 7 Tela 5.2"" Qualcomm Snapdragon 425 4G Câmera 13 + 5MP (Dual Traseira) - Dourado nas Lojas Americanas.com"
5,"R$ 799,90 (5% de desconto)R$ 759,90no boleto ou em 1x no cartão","R$ 799,90 em até 12x de R$ 66,65 s/ juros com Ame e receba R$ 40,00 (5% de volta) R$ 799,90 no cartão de crédito em até 8x de R$ 99,98 s/ jurosR$ 759,90 em 1x no cartão Americanas.com (5% de desconto) ou R$ 799,90 em até 12x de R$ 66,65 s/ jurosformas de parcelamento","Smartphone Asus Zenfone Live Dual Chip Android 6.0 Tela 5"" Snapdragon 16GB 4G Wi-Fi Câmera 13MP - Preto nas Lojas Americanas.com"
6,"R$ 899,99Selo PrimeEsta é uma oferta prime9x de R$ 99,99 s/ juros","R$ 899,99 em até 12x de R$ 74,99 s/ juros com Ame e receba R$ 45,00 (5% de volta) R$ 899,99 no cartão Americanas.com em até 12x de R$ 74,99 s/ jurosformas de parcelamento","Smartphone Asus Zenfone Max Pro (M1) 32GB Dual Chip Android Oreo Tela 6"" Qualcomm Snapdragon SDM636  4G Câmera  13 + 5MP (Dual Traseira) - Azul nas Lojas Americanas.com"
7,"R$ 1.776,67Selo PrimeEsta é uma oferta prime10x de R$ 177,66 s/ juros","R$ 1.776,67 em até 12x de R$ 148,05 s/ juros com Ame e receba R$ 88,84 (5% de volta) R$ 1.599,00 em 1x no cartão de crédito (10% de desconto)R$ 1.599,00 no cartão Americanas.com em até 12x de R$ 133,25 s/ juros (10% de desconto)formas de parcelamento","Smartphone Asus Zenfone 5 64GB Dual Chip Android Oreo Tela 6.2"" Snapdragon 636 Octacore 4G Câmera 12MP + 8MP (Dual Traseira) 3300mAh - Prata nas Lojas Americanas.com"
8,"R$ 1.776,67 (10% de desconto)R$ 1.599,00Selo PrimeEsta é uma oferta primeem 1x no cartão","R$ 1.776,67 em até 12x de R$ 148,05 s/ juros com Ame e receba R$ 88,84 (5% de volta) R$ 1.776,67 no boleto bancárioR$ 1.776,67 no cartão de crédito em até 10x de R$ 177,66 s/ jurosR$ 1.599,00 no cartão Americanas.com em até 12x de R$ 133,25 s/ juros (10% de desconto)formas de parcelamento","Smartphone Asus Zenfone 5 64GB Dual Chip Android Oreo Tela 6.2"" Snapdragon 636 Octacore 4G Câmera 12MP + 8MP (Dual Traseira) 3300mAh - Preto nas Lojas Americanas.com"
9,"R$ 1.299,00 (10% de desconto)R$ 1.169,10no boleto ou em 1x no cartão","R$ 1.299,00 em até 12x de R$ 108,25 s/ juros com Ame e receba R$ 64,95 (5% de volta) R$ 1.299,00 no cartão de crédito em até 10x de R$ 129,90 s/ jurosR$ 1.169,10 em 1x no cartão Americanas.com (10% de desconto) ou R$ 1.299,00 em até 12x de R$ 108,25 s/ jurosformas de parcelamento","Smartphone Motorola One 64GB Dual Chip Android Oreo 8.1 Tela 5.9"" 2.0 GHz Octa-Core Qualcomm 4G Câmera 13 + 2MP (Dual Traseira) - Branco nas Lojas Americanas.com"
