price;price_parcela;em_1x_no_cartao_de_credito;title;a_vista_price;desconto_a_vista;porcentagem_desconto_a_vista;qtd_de_parcelas;valor_parcelas;a_vista_ame;qtd_de_parcelas_ame;valor_parcelas_ame;receber_de_volta_ame;numero_parcelas_em_1x_no_cartao_ou_cartao_americanas;valor_parcelas_em_1x_no_cartao_ou_cartao_americanas;manufacturer
R$ 2098,99Selo PrimeEsta í© uma oferta prime10x de R$ 209,89 s/ juros;R$ 2098,99 em atí© 12x de R$ 174,91 s/ juros com Ame e receba R$ 104,95 (5% de volta) R$ 1889,09 em 1x no cartí£o de crí©dito (10% de desconto)R$ 1889,09 no cartí£o Americanascom em atí© 12x de R$ 157,42 s/ juros (10% de desconto)formas de parcelamento;1889,09;"iPhone 6s 32GB RosíÈ Tela Retina HD 4,7"" 3D Touch Cí¢mera 12MP - Apple nas Lojas Americanas.com";2098,99;False;0;10x;209,89;2098,99;12x;174,91;104,95;12x;157,42;Apple
R$ 1989,0010x de R$ 198,90 s/ juros;R$ 1989,00 em atí© 12x de R$ 165,75 s/ juros com Ame e receba R$ 298,35 (15% de volta) R$ 1790,10 em 1x no cartí£o Americanascom (10% de desconto) ou R$ 1989,00 em atí© 12x de R$ 165,75 s/ jurosformas de parcelamento;0;"Iphone 6 32GB Dourado, Tela 4.7"" IOS 8, Cí¢mera 8MP, 4G Processador 1.4 Ghz Dual Core - Apple nas Lojas Americanas.com";1989;False;0;10x;198,9;1989;12x;165,75;298,35;12x;165,75;Apple
R$ 2098,99Selo PrimeEsta í© uma oferta prime10x de R$ 209,89 s/ juros;R$ 2098,99 em atí© 12x de R$ 174,91 s/ juros com Ame e receba R$ 104,95 (5% de volta) R$ 1889,09 em 1x no cartí£o de crí©dito (10% de desconto)R$ 1889,09 no cartí£o Americanascom em atí© 12x de R$ 157,42 s/ juros (10% de desconto)formas de parcelamento;1889,09;"iPhone 6s 32GB Cinza Tela Retina HD 4,7"" 3D Touch Cí¢mera 12MP - Apple nas Lojas Americanas.com";2098,99;False;0;10x;209,89;2098,99;12x;174,91;104,95;12x;157,42;Apple
R$ 2748,99 (10% de desconto)R$ 2474,09Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 2748,99 em atí© 12x de R$ 229,08 s/ juros com Ame e receba R$ 137,45 (5% de volta) R$ 2748,99 no boleto bancíçrioR$ 2748,99 no cartí£o de crí©dito em atí© 10x de R$ 274,89 s/ jurosR$ 2474,09 no cartí£o Americanascom em atí© 12x de R$ 206,17 s/ juros (10% de desconto)formas de parcelamento;0;iPhone 7 32GB Ouro Rosa Desbloqueado IOS 10 Wi-fi + 4G Cí¢mera 12MP - Apple nas Lojas Americanas.com;2748,99;True;10;0;0;2748,99;12x;229,08;137,45;12x;274,89;Apple
R$ 3199,00 (10% de desconto)R$ 2879,10Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 3199,00 em atí© 12x de R$ 266,58 s/ juros com Ame e receba R$ 159,95 (5% de volta) R$ 3199,00 no boleto bancíçrioR$ 3199,00 no cartí£o de crí©dito em atí© 10x de R$ 319,90 s/ jurosR$ 2879,10 no cartí£o Americanascom em atí© 12x de R$ 239,92 s/ juros (10% de desconto)formas de parcelamento;0;"iPhone 7 Plus 32GB Ouro Rosa Tela Retina HD 5,5"" 3D Touch Cí¢mera Dupla de 12MP - Apple nas Lojas Americanas.com";3199;True;10;0;0;3199;12x;266,58;159,95;12x;319,9;Apple
R$ 3379,00Selo PrimeEsta í© uma oferta prime10x de R$ 337,90 s/ juros;R$ 3379,00 em atí© 12x de R$ 281,58 s/ juros com Ame e receba R$ 168,95 (5% de volta) R$ 3041,10 em 1x no cartí£o de crí©dito (10% de desconto)R$ 3041,10 no cartí£o Americanascom em atí© 12x de R$ 253,42 s/ juros (10% de desconto)formas de parcelamento;3041,1;"iPhone 8 64GB Dourado Tela 4.7"" IOS 4G Cí¢mera 12MP - Apple nas Lojas Americanas.com";3379;False;0;10x;337,9;3379;12x;281,58;168,95;12x;253,42;Apple
R$ 3499,00 (10% de desconto)R$ 3149,10Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 3499,00 em atí© 12x de R$ 291,58 s/ juros com Ame e receba R$ 174,95 (5% de volta) R$ 3499,00 no boleto bancíçrioR$ 3499,00 no cartí£o de crí©dito em atí© 10x de R$ 349,90 s/ jurosR$ 3149,10 no cartí£o Americanascom em atí© 12x de R$ 262,42 s/ juros (10% de desconto)formas de parcelamento;0;"iPhone 8 64GB Cinza Espacial Tela 4.7"" IOS 4G Cí¢mera 12MP - Apple nas Lojas Americanas.com";3499;True;10;0;0;3499;12x;291,58;174,95;12x;349,9;Apple
R$ 2776,76 (10% de desconto)R$ 2499,08Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 2776,76 em atí© 12x de R$ 231,39 s/ juros com Ame e receba R$ 138,84 (5% de volta) R$ 2776,76 no boleto bancíçrioR$ 2776,76 no cartí£o de crí©dito em atí© 10x de R$ 277,67 s/ jurosR$ 2499,08 no cartí£o Americanascom em atí© 12x de R$ 208,25 s/ juros (10% de desconto)formas de parcelamento;0;iPhone 7 32GB Preto Matte Desbloqueado IOS 10 Wi-fi + 4G Cí¢mera 12MP - Apple nas Lojas Americanas.com;2776,76;True;10;0;0;2776,76;12x;231,39;138,84;12x;277,67;Apple
R$ 2110,00 (10% de desconto)R$ 1899,00Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 2110,00 em atí© 12x de R$ 175,83 s/ juros com Ame e receba R$ 105,50 (5% de volta) R$ 2110,00 no boleto bancíçrioR$ 2110,00 no cartí£o de crí©dito em atí© 10x de R$ 211,00 s/ jurosR$ 1899,00 no cartí£o Americanascom em atí© 12x de R$ 158,25 s/ juros (10% de desconto)formas de parcelamento;0;"iPhone 6s 32GB Prata Tela Retina HD 4,7"" 3D Touch Cí¢mera 12MP - Apple nas Lojas Americanas.com";2110;True;10;0;0;2110;12x;175,83;105,5;12x;211;Apple
R$ 1914,99Selo PrimeEsta í© uma oferta prime10x de R$ 191,49 s/ juros;R$ 1914,99 em atí© 12x de R$ 159,58 s/ juros com Ame e receba R$ 95,75 (5% de volta) R$ 1723,49 em 1x no cartí£o Americanascom (10% de desconto) ou R$ 1914,99 em atí© 12x de R$ 159,58 s/ jurosformas de parcelamento;0;"iPhone 6 32gb Cinza Espacial, tela 4.7"" IOS 10, Camera 8MP, 4G Processador A8 1.4 GHz Dual Core - Apple nas Lojas Americanas.com";1914,99;False;0;10x;191,49;1914,99;12x;159,58;95,75;12x;159,58;Apple
