Unnamed: 0;price;price_parcela;title;a_vista_price;desconto_a_vista;porcentagem_desconto_a_vista;qtd_de_parcelas;valor_parcelas;a_vista_ame;qtd_de_parcelas_ame;valor_parcelas_ame;receber_de_volta_ame;em_1x_no_cartao_de_credito;numero_parcelas_em_1x_no_cartao_ou_cartao_americanas;valor_parcelas_em_1x_no_cartao_ou_cartao_americanas
0;R$ 889,00 (10% de desconto)R$ 800,10no boleto ou em 1x no cartão;R$ 889,00 em até 10x de R$ 88,90 s/ juros com Ame e receba R$ 44,45 (5% de volta) R$ 889,00 no cartão de crédito em até 10x de R$ 88,90 s/ jurosR$ 800,10 em 1x no cartão Americanascom (10% de desconto) ou R$ 889,00 em até 10x de R$ 88,90 s/ jurosformas de parcelamento;"Smartphone Asus Zenfone Max Pro (M1) 32GB Dual Chip Android Oreo Tela 6"" Qualcomm Snapdragon SDM636  4G Câmera  13 + 5MP (Dual Traseira) - Prata nas Lojas Americanas.com";889,00;True;10;0;0;889,00;10x;88,90;44,45;0;;
1;R$ 899,99Selo PrimeEsta é uma oferta prime9x de R$ 99,99 s/ juros;R$ 899,99 em até 12x de R$ 74,99 s/ juros com Ame e receba R$ 45,00 (5% de volta) R$ 899,99 no cartão Americanascom em até 12x de R$ 74,99 s/ jurosformas de parcelamento;"Smartphone Asus Zenfone Max Pro (M1) 32GB Dual Chip Android Oreo Tela 6"" Qualcomm Snapdragon SDM636  4G Câmera  13 + 5MP (Dual Traseira) - Preto nas Lojas Americanas.com";899,99;False;0;0;99,99;899,99;12x;74,99;45,00;0;;
2;R$ 749,907x de R$ 107,12 s/ juros;R$ 749,90 em até 12x de R$ 62,49 s/ juros com Ame e receba R$ 37,50 (5% de volta) R$ 749,90 no cartão Americanascom em até 12x de R$ 62,49 s/ jurosformas de parcelamento;"Smartphone Zenfone Max M1 32GB Dual Chip Android 7 Tela 5.2"" Qualcomm Snapdragon 425 4G Câmera 13 + 5MP (Dual Traseira) - Preto nas Lojas Americanas.com";749,90;False;0;07x;107,12;749,90;12x;62,49;37,50;0;;
3;R$ 1279,00Selo PrimeEsta é uma oferta prime10x de R$ 127,90 s/ juros;R$ 1279,00 em até 12x de R$ 106,58 s/ juros com Ame e receba R$ 63,95 (5% de volta) R$ 1253,42 no boleto bancário (2% de desconto)R$ 1279,00 no cartão Americanascom em até 12x de R$ 106,58 s/ jurosformas de parcelamento;"Smartphone Asus Zenfone Max Pro M1 64gb/4gb Dual Chip Android 8.0 Tela Fhd 6.0""+ Qualcomm Snapdragon 1.8ghz 4g Câmera Dual 16mp+5mp - Prata nas Lojas Americanas.com";1279,00;False;0;10x;127,90;1279,00;12x;106,58;63,95;0;;
4;R$ 1141,7610x de R$ 114,17 s/ juros;R$ 1141,76 em até 12x de R$ 95,14 s/ juros com Ame e receba R$ 57,09 (5% de volta) R$ 1141,76 no cartão Americanascom em até 12x de R$ 95,14 s/ jurosformas de parcelamento;"Smartphone Zenfone Max M1 32GB Dual Chip Android 7 Tela 5.2"" Qualcomm Snapdragon 425 4G Câmera 13 + 5MP (Dual Traseira) - Dourado nas Lojas Americanas.com";1141,76;False;0;10x;114,17;1141,76;12x;95,14;57,09;0;;
5;R$ 799,90 (5% de desconto)R$ 759,90no boleto ou em 1x no cartão;R$ 799,90 em até 12x de R$ 66,65 s/ juros com Ame e receba R$ 40,00 (5% de volta) R$ 799,90 no cartão de crédito em até 8x de R$ 99,98 s/ jurosR$ 759,90 em 1x no cartão Americanascom (5% de desconto) ou R$ 799,90 em até 12x de R$ 66,65 s/ jurosformas de parcelamento;"Smartphone Asus Zenfone Live Dual Chip Android 6.0 Tela 5"" Snapdragon 16GB 4G Wi-Fi Câmera 13MP - Preto nas Lojas Americanas.com";799,90;True;5;0;0;799,90;12x;66,65;40,00;0;;
6;R$ 899,99Selo PrimeEsta é uma oferta prime9x de R$ 99,99 s/ juros;R$ 899,99 em até 12x de R$ 74,99 s/ juros com Ame e receba R$ 45,00 (5% de volta) R$ 899,99 no cartão Americanascom em até 12x de R$ 74,99 s/ jurosformas de parcelamento;"Smartphone Asus Zenfone Max Pro (M1) 32GB Dual Chip Android Oreo Tela 6"" Qualcomm Snapdragon SDM636  4G Câmera  13 + 5MP (Dual Traseira) - Azul nas Lojas Americanas.com";899,99;False;0;0;99,99;899,99;12x;74,99;45,00;0;;
7;R$ 1776,67Selo PrimeEsta é uma oferta prime10x de R$ 177,66 s/ juros;R$ 1776,67 em até 12x de R$ 148,05 s/ juros com Ame e receba R$ 88,84 (5% de volta) R$ 1599,00 em 1x no cartão de crédito (10% de desconto)R$ 1599,00 no cartão Americanascom em até 12x de R$ 133,25 s/ juros (10% de desconto)formas de parcelamento;"Smartphone Asus Zenfone 5 64GB Dual Chip Android Oreo Tela 6.2"" Snapdragon 636 Octacore 4G Câmera 12MP + 8MP (Dual Traseira) 3300mAh - Prata nas Lojas Americanas.com";1776,67;False;0;10x;177,66;1776,67;12x;148,05;88,84;0;;
8;R$ 1776,67 (10% de desconto)R$ 1599,00Selo PrimeEsta é uma oferta primeem 1x no cartão;R$ 1776,67 em até 12x de R$ 148,05 s/ juros com Ame e receba R$ 88,84 (5% de volta) R$ 1776,67 no boleto bancárioR$ 1776,67 no cartão de crédito em até 10x de R$ 177,66 s/ jurosR$ 1599,00 no cartão Americanascom em até 12x de R$ 133,25 s/ juros (10% de desconto)formas de parcelamento;"Smartphone Asus Zenfone 5 64GB Dual Chip Android Oreo Tela 6.2"" Snapdragon 636 Octacore 4G Câmera 12MP + 8MP (Dual Traseira) 3300mAh - Preto nas Lojas Americanas.com";1776,67;True;10;0;0;1776,67;12x;148,05;88,84;0;;
9;R$ 1299,00 (10% de desconto)R$ 1169,10no boleto ou em 1x no cartão;R$ 1299,00 em até 12x de R$ 108,25 s/ juros com Ame e receba R$ 64,95 (5% de volta) R$ 1299,00 no cartão de crédito em até 10x de R$ 129,90 s/ jurosR$ 1169,10 em 1x no cartão Americanascom (10% de desconto) ou R$ 1299,00 em até 12x de R$ 108,25 s/ jurosformas de parcelamento;"Smartphone Motorola One 64GB Dual Chip Android Oreo 8.1 Tela 5.9"" 2.0 GHz Octa-Core Qualcomm 4G Câmera 13 + 2MP (Dual Traseira) - Branco nas Lojas Americanas.com";1299,00;True;10;0;0;1299,00;12x;108,25;64,95;0;;
10;R$ 1299,00Selo PrimeEsta é uma oferta prime10x de R$ 129,90 s/ juros;R$ 1299,00 em até 12x de R$ 108,25 s/ juros com Ame e receba R$ 64,95 (5% de volta) R$ 1169,10 em 1x no cartão de crédito (10% de desconto)R$ 1169,10 no cartão Americanascom em até 12x de R$ 97,42 s/ juros (10% de desconto)formas de parcelamento;"Smartphone Motorola One 64GB Dual Chip Android Oreo 8.1 Tela 5.9"" 2.0 GHz Octa-Core Qualcomm 4G Câmera 13 + 2MP (Dual Traseira) - Preto nas Lojas Americanas.com";1299,00;False;0;10x;129,90;1299,00;12x;108,25;64,95;0;;
11;R$ 1076,00 (4% de desconto)R$ 1032,96Selo PrimeEsta é uma oferta primeno boleto;R$ 1076,00 em até 12x de R$ 89,66 s/ juros com Ame e receba R$ 53,80 (5% de volta) R$ 1043,72 em 1x no cartão de crédito (3% de desconto) Ou R$ 1076,00 no cartão de crédito em até 10x de R$ 107,60 s/ jurosR$ 1043,72 em 1x no cartão Americanascom (3% de desconto) ou R$ 1076,00 em até 12x de R$ 89,66 s/ jurosformas de parcelamento;"Smartphone Motorola Moto G7 Power 32GB Dual Chip Android Pie - 9.0 Tela 6.2"" 1.8 GHz Octa-Core 4G Câmera 12MP - Azul Navy nas Lojas Americanas.com";1076,00;True;4;0;0;1076,00;12x;89,66;53,80;0;;
12;R$ 843,33Selo PrimeEsta é uma oferta prime8x de R$ 105,41 s/ juros;R$ 843,33 em até 12x de R$ 70,27 s/ juros com Ame e receba R$ 42,17 (5% de volta) R$ 758,99 em 1x no cartão de crédito (10% de desconto)R$ 758,99 no cartão Americanascom em até 12x de R$ 63,24 s/ juros (10% de desconto)formas de parcelamento;"Smartphone Motorola Moto G7 Play 32GB Dual Chip Android Pie - 9.0 Tela 5.7"" 1.8 GHz Octa-Core 4G Câmera 13MP - Indigo nas Lojas Americanas.com";843,33;False;0;0;105,41;843,33;12x;70,27;42,17;0;;
13;R$ 799,99 (10% de desconto)R$ 719,99Selo PrimeEsta é uma oferta primeem 1x no cartão;R$ 799,99 em até 12x de R$ 66,66 s/ juros com Ame e receba R$ 40,00 (5% de volta) R$ 799,99 no boleto bancárioR$ 799,99 no cartão de crédito em até 8x de R$ 99,99 s/ jurosR$ 719,99 no cartão Americanascom em até 12x de R$ 59,99 s/ juros (10% de desconto)formas de parcelamento;"Smartphone Motorola Moto G6 Play Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.4 GHz 32GB 4G Câmera 13MP - Índigo nas Lojas Americanas.com";799,99;True;10;0;0;799,99;12x;66,66;40,00;0;;
14;R$ 799,99Selo PrimeEsta é uma oferta prime8x de R$ 99,99 s/ juros;R$ 799,99 em até 12x de R$ 66,66 s/ juros com Ame e receba R$ 40,00 (5% de volta) R$ 719,99 em 1x no cartão de crédito (10% de desconto)R$ 719,99 no cartão Americanascom em até 12x de R$ 59,99 s/ juros (10% de desconto)formas de parcelamento;"Smartphone Motorola Moto G6 Play Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.4 GHz 32GB 4G Câmera 13MP - Ouro nas Lojas Americanas.com";799,99;False;0;0;99,99;799,99;12x;66,66;40,00;0;;
