price;title;de_price;por_price;a_vista;desconto_a_vista;num_parcelas;valor_parcela;format_title;manufacturer;espaco_armazenamento
 de R$ 1499,00   por R$ 1299,00      em 10x de R$ 129,90 sem juros ;Smartphone redmi mi a2 4ram 32gb lte dual global dourado - Xiaomi - Magazine Luiza;  1499,00   ;  1299,00      ;False;; 10x ;  129,90  ;mi a2 4ram 32gb lte dual global dourado - Xiaomi ;redmi;
 de R$ 1499,90   por R$ 1249,90      em 10x de R$ 124,99 sem juros ;Celular SmartPhone Redmi Note 6 Pro 64gb Original Novo - Xiaomi - Magazine Luiza;  1499,90   ;  1249,90      ;False;; 10x ;  124,99  ; SmartPhone Redmi Note 6 Pro 64gb Original Novo - Xiaomi ;Celular;
 de R$ 1499,90   por R$ 1199,90      em 10x de R$ 119,99 sem juros ;Smartphone xiaomi redmi mi a2 32gb dual 4g lte preto - Xiaomi - Magazine Luiza;  1499,90   ;  1199,90      ;False;; 10x ;  119,99  ;redmi mi a2 32gb dual 4g lte preto - Xiaomi ;xiaomi;
 de R$ 899,90   por R$ 799,90      em 10x de R$ 79,99 sem juros ;Smartphone xiaomi redmi 6a 32gb dual 4g lte preto - Xiaomi - Magazine Luiza;  899,90   ;  799,90      ;False;; 10x ;  79,99  ;redmi 6a 32gb dual 4g lte preto - Xiaomi ;xiaomi;
 de R$ 899,90   por R$ 799,90      em 10x de R$ 79,99 sem juros ;Smartphone xiaomi redmi 6a 32gb dual 4g lte dourado - Xiaomi - Magazine Luiza;  899,90   ;  799,90      ;False;; 10x ;  79,99  ;redmi 6a 32gb dual 4g lte dourado - Xiaomi ;xiaomi;
 de R$ 899,90   por R$ 699,90      em 10x de R$ 69,99 sem juros ;Smartphone xiaomi redmi 6a 16gb dual 4g lte dourado - Xiaomi - Magazine Luiza;  899,90   ;  699,90      ;False;; 10x ;  69,99  ;redmi 6a 16gb dual 4g lte dourado - Xiaomi ;xiaomi;
 de R$ 899,90   por R$ 699,90      em 10x de R$ 69,99 sem juros ;Smartphone xiaomi redmi 6a 16gb dual 4g lte preto - Xiaomi - Magazine Luiza;  899,90   ;  699,90      ;False;; 10x ;  69,99  ;redmi 6a 16gb dual 4g lte preto - Xiaomi ;xiaomi;
   por R$ 749,00      em 10x de R$ 74,90 sem juros ;Smartphone Xiaomi Redmi 6 preto, Tela 5,45â€ù, 3GB Ram, 32GB, CÃ¢mera 12MP/5MP, Dual Sim - Marca - Xiaomi - Magazine Luiza;   ;  749,00      ;False;; 10x ;  74,90  ;Redmi 6 preto, Tela 5,45â€ù, 3GB Ram, 32GB, CÃ¢mera 12MP/5MP, Dual Sim - Marca -;Xiaomi;3GB
 de R$ 1299,90   por R$ 1049,90      em 10x de R$ 104,99 sem juros ;Smartphone redmi 7 64gb snapdragon 632 2gb 12mp+2mp selfie 8mp ram preto - Xiaomi - Magazine Luiza;  1299,90   ;  1049,90      ;False;; 10x ;  104,99  ;7 64gb snapdragon 632 2gb 12mp+2mp selfie 8mp ram preto - Xiaomi ;redmi;
 de R$ 1499,90   por R$ 1399,90      em 10x de R$ 139,99 sem juros ;Smartphone celular redmi mi 8 lite 64gb dual 4g lte preto - Xiaomi - Magazine Luiza;  1499,90   ;  1399,90      ;False;; 10x ;  139,99  ;redmi mi 8 lite 64gb dual 4g lte preto - Xiaomi ;celular;
 de R$ 1699,90   por R$ 1499,90      em 10x de R$ 149,99 sem juros ;Smartphone celular redmi mi 8 light 64gb dual 4g lte azul - Xiaomi - Magazine Luiza;  1699,90   ;  1499,90      ;False;; 10x ;  149,99  ;redmi mi 8 light 64gb dual 4g lte azul - Xiaomi ;celular;
   por R$ 1049,00      em 10x de R$ 104,90 sem juros ;Smartphone redmi mi play 4ram 64gb tela 5.84â€ù lte dual global azul - Xiaomi - Magazine Luiza;   ;  1049,00      ;False;; 10x ;  104,90  ;mi play 4ram 64gb tela 5.84â€ù lte dual global azul - Xiaomi ;redmi;
 de R$ 1299,00   por R$ 1199,00      em 10x de R$ 119,90 sem juros ;Smartphone redmi mi a2 lite 4ram 64gb tela 5.84â€ù lte dual global azul - Xiaomi - Magazine Luiza;  1299,00   ;  1199,00      ;False;; 10x ;  119,90  ;mi a2 lite 4ram 64gb tela 5.84â€ù lte dual global azul - Xiaomi ;redmi;
 de R$ 1699,00   por R$ 1099,00      em 10x de R$ 109,90 sem juros ;Smartphone redmi mi a2 4ram 64gb lte dual global preto - Xiaomi - Magazine Luiza;  1699,00   ;  1099,00      ;False;; 10x ;  109,90  ;mi a2 4ram 64gb lte dual global preto - Xiaomi ;redmi;
 de R$ 2399,00   por R$ 2299,00      em 10x de R$ 229,90 sem juros ;Smartphone redmi pocophone f1 6ram 128gb lte dual global azul - Xiaomi - Magazine Luiza;  2399,00   ;  2299,00      ;False;; 10x ;  229,90  ;pocophone f1 6ram 128gb lte dual global azul - Xiaomi ;redmi;
   por R$ 2599,90      em 10x de R$ 259,99 sem juros ;Smartphone redmi pocophone f1 128gb dual 4g lte preto - Xiaomi - Magazine Luiza;   ;  2599,90      ;False;; 10x ;  259,99  ;pocophone f1 128gb dual 4g lte preto - Xiaomi ;redmi;
   por R$ 2199,90      em 10x de R$ 219,99 sem juros ;Smartphone celular redmi pocophone f1 64gb dual 4g lte preto - Xiaomi - Magazine Luiza;   ;  2199,90      ;False;; 10x ;  219,99  ;redmi pocophone f1 64gb dual 4g lte preto - Xiaomi ;celular;
   por R$ 2599,00      em 10x de R$ 259,90 sem juros ;Smartphone celular redmi pocophone f1 128gb dual 4g lte azul - Xiaomi - Magazine Luiza;   ;  2599,00      ;False;; 10x ;  259,90  ;redmi pocophone f1 128gb dual 4g lte azul - Xiaomi ;celular;
   por R$ 3699,90      em 10x de R$ 369,99 sem juros ;Smartphone celular redmi mi 8 pro 128gb transparente dual 4g lte titan - Xiaomi - Magazine Luiza;   ;  3699,90      ;False;; 10x ;  369,99  ;redmi mi 8 pro 128gb transparente dual 4g lte titan - Xiaomi ;celular;
 de R$ 1899,90   por R$ 1499,90      em 10x de R$ 149,99 sem juros ;Smartphone redmi mi max 3 64gb dual 4g lte preto - Xiaomi - Magazine Luiza;  1899,90   ;  1499,90      ;False;; 10x ;  149,99  ;mi max 3 64gb dual 4g lte preto - Xiaomi ;redmi;
