price;title;de_price;por_price;a_vista;desconto_a_vista;num_parcelas;valor_parcela;format_title;manufacturer;espaco_armazenamento;modelo;cor
 de R$ 3999,00   por R$ 3014,10 ’‘’_ vista (10% de desconto)      ou R$ 3349,00 em 10x de R$ 334,90 sem juros ;iPhone 8 Apple 64GB Dourado 4G Tela 4,7Î_’_Îù - Retina C’‘Î¢m. 12MP + Selfie 7MP iOS 11 - iPhone - Magazine Luiza;3999;3014,1;True;10% de desconto; 10x ;334,9;"iPhone 864GB Dourado 4G Tela 4,7"" - Retina C‰m. 12MP + Selfie 7MP iOS 11 - iPhone ";Apple;64GB;iPhone 8;Dourado
 de R$ 3999,00   por R$ 3014,10 ’‘’_ vista (10% de desconto)      ou R$ 3349,00 em 10x de R$ 334,90 sem juros ;iPhone 8 Apple 64GB Prata 4G Tela 4,7Î_’_Îù - Retina C’‘Î¢m. 12MP + Selfie 7MP iOS 11 - iPhone - Magazine Luiza;3999;3014,1;True;10% de desconto; 10x ;334,9;"iPhone 864GB Prata 4G Tela 4,7"" - Retina C‰m. 12MP + Selfie 7MP iOS 11 - iPhone ";Apple;64GB;iPhone 8;Prata
 de R$ 1199,00   por R$ 899,10 ’‘’_ vista (10% de desconto)      ou R$ 999,00 em 10x de R$ 99,90 sem juros ;Smartphone Motorola Moto G6 Play 32GB Ouro - Dual Chip 4G C’‘Î¢m 13MP + Selfie 8MP Flash Tela 5.7Î_’_Îù - Moto G6 Play - Magazine Luiza;1199;899,1;True;10% de desconto; 10x ;99,9;"Moto G6 Play 32GB Ouro - Dual Chip 4G C‰m 13MP + Selfie 8MP Flash Tela 5.7"" - Moto G6 Play ";Motorola;32GB;Moto G6 Play;Ouro
 de R$ 1199,00   por R$ 899,10 ’‘’_ vista (10% de desconto)      ou R$ 999,00 em 10x de R$ 99,90 sem juros ;Smartphone Motorola Moto G6 Play 32GB Indigo - 4G Octa Core 3GB RAM Tela 5,7Î_’_Îù C’‘Î¢m 13MP + Selfie 8 - Moto G6 Play - Magazine Luiza;1199;899,1;True;10% de desconto; 10x ;99,9;"Moto G6 Play 32GB Indigo - 4G Octa Core 3GB RAM Tela 5,7"" C‰m 13MP + Selfie 8 - Moto G6 Play ";Motorola;32GB;Moto G6 Play ;Indigo
 de R$ 1199,00   por R$ 675,00      em 10x de R$ 67,50 sem juros ;Smartphone Samsung Galaxy J4+ 32GB Dual Chip Tela 6 C’‘Î¢mera 13MP 5MP Android 8.1 Preto - Galaxy J4 Plus - Magazine Luiza;1199;675;False;; 10x ;67,5;Galaxy J4+ 32GB Dual Chip Tela 6 C‰mera 13MP 5MP Android 8.1 Preto - Galaxy J4 Plus ;Samsung;32GB;Galaxy J4+;Preto
 de R$ 899,00   por R$ 643,41 ’‘’_ vista (10% de desconto)      ou R$ 714,90 em 10x de R$ 71,49 sem juros ;Smartphone Samsung Galaxy J4 Core 16GB Preto 4G - Quad Core 1GB RAM Tela 6Î_’_Îù C’‘Î¢m. 8MP + Selfie 5MP - Galaxy J4 Core - Magazine Luiza;899;643,41;True;10% de desconto; 10x ;71,49;"Galaxy J4 Core 16GB Preto 4G - Quad Core 1GB RAM Tela 6"" C‰m. 8MP + Selfie 5MP - Galaxy J4 Core ";Samsung;16GB;Galaxy J4 Core ;Preto
 de R$ 780,89   por R$ 709,90      em 10x de R$ 70,99 sem juros ;Smartphone Samsung J4 Core, Cobre, J410M,  Tela de 6Î_’_Îù, 16GB, 8MP - Galaxy J4 Core - Magazine Luiza;780,89;709,9;False;; 10x ;70,99;"J4 Core, Cobre, J410M,Tela de 6"", 16GB, 8MP - Galaxy J4 Core ";Samsung;16GB;J4 Core;Cobre
 de R$ 780,89   por R$ 709,90      em 10x de R$ 70,99 sem juros ;Smartphone Samsung J4 Core, Preto, J410M,  Tela de 6Î_’_Îù, 16GB, 8MP - Galaxy J4 Core - Magazine Luiza;780,89;709,9;False;; 10x ;70,99;"J4 Core, Preto, J410M,Tela de 6"", 16GB, 8MP - Galaxy J4 Core ";Samsung;16GB;J4 Core;Preto
   por R$ 615,00      em 10x de R$ 61,50 sem juros ;Smartphone Samsung Galaxy J4 Core Tela infinita de 6 C’‘Î¢mera Frontal de 5MP Android Go 8.1- Preto - Galaxy J4 Core - Magazine Luiza;   ;615;False;; 10x ;61,5;Galaxy J4 Core Tela infinita de 6 C‰mera Frontal de 5MP Android Go 8.1- Preto - Galaxy J4 Core ;Samsung;;Galaxy J4 Core ;Preto
 de R$ 549,00   por R$ 519,00      em 6x de R$ 86,50 sem juros ;Smartphone Samsung Galaxy J2 Core 16GB Dual Chip Tela 5 C’‘Î¢mera 8MP 5MP Android Go 8.1 Prata - Smartphone - Magazine Luiza;549;519;False;; 6x ;86,5;Galaxy J2 Core 16GB Dual Chip Tela 5 C‰mera 8MP 5MP Android Go 8.1 Prata -;Samsung;16GB;Galaxy J2 Core;Prata
 de R$ 599,00   por R$ 519,00      em 6x de R$ 86,50 sem juros ;Smartphone Desbloqueado Samsung J260 Galaxy J2 Core Dourado 16 GB - Claro - Smartphone - Magazine Luiza;599;519;False;; 6x ;86,5; J260 Galaxy J2 Core Dourado 16 GB - Claro -;Samsung;;J260 Galaxy J2 Core;Dourado
   por R$ 492,90      em 10x de R$ 49,29 sem juros ;Smartphone Samsung Galaxy J2 Core 16GB Dual Chip Android 8.1 QuadCore 1.4 Ghz Cam 8mp - Preto - Smartphone - Magazine Luiza;   ;492,9;False;; 10x ;49,29;Galaxy J2 Core 16GB Dual Chip Android 8.1 QuadCore 1.4 Ghz Cam 8mp - Preto -;Samsung;16GB;Galaxy J2 Core ;Preto
 de R$ 794,00   por R$ 539,10 ’‘’_ vista (10% de desconto)      ou R$ 599,00 em 10x de R$ 59,90 sem juros ;Smartphone Samsung Galaxy J2 Core 16GB Prata - 4G 1GB RAM Tela 5Î_’_Îù C’‘Î¢m. 8MP + C’‘Î¢m. Selfie 5MP - Smartphone - Magazine Luiza;794;539,1;True;10% de desconto; 10x ;59,9;"Galaxy J2 Core 16GB Prata - 4G 1GB RAM Tela 5"" C‰m. 8MP + C‰m. Selfie 5MP -";Samsung;16GB;Galaxy J2 ;Prata
 de R$ 799,00   por R$ 539,10 ’‘’_ vista (10% de desconto)      ou R$ 599,00 em 10x de R$ 59,90 sem juros ;Smartphone Samsung Galaxy J2 Core 16GB Preto - 4G 1GB RAM Tela 5Î_’_Îù C’‘Î¢m. 8MP + C’‘Î¢m. Selfie 5MP - Samsung Galaxy - Magazine Luiza;799;539,1;True;10% de desconto; 10x ;59,9;"Galaxy J2 Core 16GB Preto - 4G 1GB RAM Tela 5"" C‰m. 8MP + C‰m. Selfie 5MP -Galaxy ";Samsung;16GB;Galaxy J2 Core ;Preto
 de R$ 709,00   por R$ 499,00      em 10x de R$ 49,90 sem juros ;Smartphone LG K9 16GB Dual Chip 5.0 C’‘Î¢mera 8MP Selfie 5MP Android TV Digital Android 7.0 Azul - Celular LG - Magazine Luiza;709;499;False;; 10x ;49,9;K9 16GB Dual Chip 5.0 C‰mera 8MP Selfie 5MP Android TV Digital Android 7.0 Azul - Celular;LG;16GB;K9;Azul
