price;title
 de R$ 1.499,00   por R$ 1.299,00      em 10x de R$ 129,90 sem juros ;Smartphone redmi mi a2 4ram 32gb lte dual global dourado - Xiaomi - Magazine Luiza
 de R$ 1.499,90   por R$ 1.249,90      em 10x de R$ 124,99 sem juros ;Celular SmartPhone Redmi Note 6 Pro 64gb Original Novo - Xiaomi - Magazine Luiza
 de R$ 1.499,90   por R$ 1.199,90      em 10x de R$ 119,99 sem juros ;Smartphone xiaomi redmi mi a2 32gb dual 4g lte preto - Xiaomi - Magazine Luiza
 de R$ 899,90   por R$ 799,90      em 10x de R$ 79,99 sem juros ;Smartphone xiaomi redmi 6a 32gb dual 4g lte preto - Xiaomi - Magazine Luiza
 de R$ 899,90   por R$ 799,90      em 10x de R$ 79,99 sem juros ;Smartphone xiaomi redmi 6a 32gb dual 4g lte dourado - Xiaomi - Magazine Luiza
 de R$ 899,90   por R$ 699,90      em 10x de R$ 69,99 sem juros ;Smartphone xiaomi redmi 6a 16gb dual 4g lte dourado - Xiaomi - Magazine Luiza
 de R$ 899,90   por R$ 699,90      em 10x de R$ 69,99 sem juros ;Smartphone xiaomi redmi 6a 16gb dual 4g lte preto - Xiaomi - Magazine Luiza
   por R$ 749,00      em 10x de R$ 74,90 sem juros ;Smartphone Xiaomi Redmi 6 preto, Tela 5,45â€ù, 3GB Ram, 32GB, CÃ¢mera 12MP/5MP, Dual Sim - Marca - Xiaomi - Magazine Luiza
 de R$ 1.299,90   por R$ 1.049,90      em 10x de R$ 104,99 sem juros ;Smartphone redmi 7 64gb snapdragon 632 2gb 12mp+2mp selfie 8mp ram preto - Xiaomi - Magazine Luiza
 de R$ 1.499,90   por R$ 1.399,90      em 10x de R$ 139,99 sem juros ;Smartphone celular redmi mi 8 lite 64gb dual 4g lte preto - Xiaomi - Magazine Luiza
 de R$ 1.699,90   por R$ 1.499,90      em 10x de R$ 149,99 sem juros ;Smartphone celular redmi mi 8 light 64gb dual 4g lte azul - Xiaomi - Magazine Luiza
   por R$ 1.049,00      em 10x de R$ 104,90 sem juros ;Smartphone redmi mi play 4ram 64gb tela 5.84â€ù lte dual global azul - Xiaomi - Magazine Luiza
 de R$ 1.299,00   por R$ 1.199,00      em 10x de R$ 119,90 sem juros ;Smartphone redmi mi a2 lite 4ram 64gb tela 5.84â€ù lte dual global azul - Xiaomi - Magazine Luiza
 de R$ 1.699,00   por R$ 1.099,00      em 10x de R$ 109,90 sem juros ;Smartphone redmi mi a2 4ram 64gb lte dual global preto - Xiaomi - Magazine Luiza
 de R$ 2.399,00   por R$ 2.299,00      em 10x de R$ 229,90 sem juros ;Smartphone redmi pocophone f1 6ram 128gb lte dual global azul - Xiaomi - Magazine Luiza
   por R$ 2.599,90      em 10x de R$ 259,99 sem juros ;Smartphone redmi pocophone f1 128gb dual 4g lte preto - Xiaomi - Magazine Luiza
   por R$ 2.199,90      em 10x de R$ 219,99 sem juros ;Smartphone celular redmi pocophone f1 64gb dual 4g lte preto - Xiaomi - Magazine Luiza
   por R$ 2.599,00      em 10x de R$ 259,90 sem juros ;Smartphone celular redmi pocophone f1 128gb dual 4g lte azul - Xiaomi - Magazine Luiza
   por R$ 3.699,90      em 10x de R$ 369,99 sem juros ;Smartphone celular redmi mi 8 pro 128gb transparente dual 4g lte titan - Xiaomi - Magazine Luiza
 de R$ 1.899,90   por R$ 1.499,90      em 10x de R$ 149,99 sem juros ;Smartphone redmi mi max 3 64gb dual 4g lte preto - Xiaomi - Magazine Luiza
